RAEKE+LB (fixed),RAEKE+LB (inv_cap),KSP+AD (fixed)
97.3157877,96.34432231,98.84946872
97.89314445,96.8782895,98.53371054
96.65118728,95.78794228,97.97785951
97.74256844,97.12485233,97.17669223
96.50401084,97.33281276,97.72610824
97.3195155,97.09937209,97.86006693
97.26322356,97.21939431,97.78567991
96.85021174,96.49874073,98.78326715
97.44757133,96.77744953,98.26304591
96.89670926,95.672953,98.9220563
98.02924082,97.72146736,98.54455828
97.7342908,98.09818542,98.87167594
96.93345833,98.65758268,99.23708874
97.38980754,97.67070168,99.00945234
98.70549411,97.97324163,98.89146236
96.26720913,96.70832233,98.82305255
97.05889299,96.88170786,97.90010536
96.89104584,96.04775112,97.95935451
96.85766431,95.69903604,99.02847237
97.15396225,97.97111399,98.48914999
96.76700099,96.81619699,97.95180093
96.45058324,96.60182749,97.42240819
97.49273831,97.49708199,97.94019233
96.99989954,97.72789267,99.3813486
96.98825662,96.83869201,99.47236434
97.41213591,97.43639376,99.11302829
97.22566363,97.89111285,99.47815309
98.53093402,97.59676023,99.30868978
97.42955297,97.35173977,99.18208654
96.91332014,96.08695687,98.99370277
97.16179271,97.67737633,99.40773476
96.99393942,95.2634688,97.44967046
95.87914449,96.94910299,97.06427433
96.71953549,95.47902652,98.59367641
96.60841819,97.00990346,98.37234386
96.97187964,97.36007302,97.30119344
96.10842447,96.48884656,97.20396808
97.56834147,97.46639132,99.47469307
96.72086186,96.42826343,98.47472228
97.80497799,97.41812766,99.2658013
96.92456195,97.20035207,98.81161999
96.76280776,97.84408562,99.8054082
97.5653409,97.5733037,99.26455838
97.50941883,97.05182565,99.35590777
97.34099063,96.82610647,99.07191026
98.20329122,97.29017189,99.42868005
95.37038542,96.39949887,98.00009359
97.45078219,97.01126089,97.63889091
97.55344026,97.14045274,97.73513441
96.70666457,96.49301117,98.54768585
97.52447928,97.07330201,98.65360486
95.93194258,97.06729286,97.13941592
97.5719392,97.31364301,99.46913148
97.023117,96.72954361,99.62334047
96.14543149,97.69605861,98.99085991
98.03932664,97.87693997,98.94438068
98.28486479,98.35345108,98.78740348
97.76476396,97.59441715,99.63736433
98.69929257,96.93390339,99.19011638
98.00385537,98.29303868,99.35929685
97.21493658,96.77124971,98.04012348
97.04700443,96.82323139,97.97009177
96.05127649,95.94194895,97.83655288
96.74569364,95.49841005,97.80644986
96.38038534,97.27758382,97.37128697
97.53764843,96.54984245,97.87507958
97.3451819,97.08355473,97.98433245
97.77283485,98.17499585,99.15482703
97.6210919,97.24448931,99.26459054
97.95748319,97.52495448,98.65464248
98.10485799,97.74697262,99.36999205
98.39316832,98.01040106,99.41464069
97.82544324,98.12224489,99.69009605
95.54736698,97.21149923,98.63050463
97.89106162,98.02915882,99.60086716
97.97195935,97.66460954,98.86297121
97.68325807,97.74813871,98.74849476
96.25251596,96.37381949,98.53599517
96.44748041,96.95710835,97.89621465
97.06921597,96.80834429,98.18563243
97.24580733,96.05878805,97.61233654
96.10997723,96.43050012,99.08745977
97.15576162,97.47640706,98.6823497
97.29841952,97.57027152,98.96402076
98.43579234,97.6921103,99.33122526
98.97108163,98.56857585,99.26351617
96.90308566,96.75396936,99.48276504
97.28837063,97.50086986,99.06329792
97.0608988,97.41022247,98.96500609
97.83174864,96.42952451,99.6617952
97.88053208,97.83158607,98.51743346
96.97684668,97.43414752,99.1744199
97.45852428,97.11986587,97.72974903
95.93142341,95.48666205,98.76500742
97.64257278,96.82053462,98.79125596
96.89226812,96.66322881,98.15000028
96.74294912,97.65047746,97.97864886
96.42936605,96.82796321,98.77981001
98.51983801,97.35961622,98.30266173
97.73021511,96.57670965,98.92950919
97.88370086,98.24326149,98.92037692
97.07624914,97.65855117,99.38468222
97.05791549,97.45051377,98.90513117
97.36024722,96.90794963,99.06606329
97.72459432,96.54965029,99.71708336
96.87359415,97.16731885,98.76052282
96.14028521,97.56278715,97.94593828
97.6840599,96.90696293,99.29654561
96.67133595,96.57474943,97.87862932
97.9989253,96.92114697,97.85461829
96.56698822,96.19007776,97.88926164
96.70473064,96.90443654,98.1508277
97.73074575,96.745505,98.95632969
96.28686252,96.44958567,98.21566662
98.17981281,97.99910422,98.84726226
97.44529101,97.35763247,99.65470026
97.97181934,98.21377301,99.27490491
97.82128839,97.98349223,99.64959792
97.1607129,97.45233748,99.51872509
98.60507453,97.81404316,98.72303053
96.44825546,96.94170903,98.95298747
96.79885348,97.66100285,97.97335108
97.89653044,97.95838551,97.96079531
96.37550106,96.49104334,97.17641065
95.81764613,95.52203888,97.72560079
96.55764069,96.07875035,96.25492767
96.96544777,97.27398938,98.05883803
97.04147959,96.72681693,98.98760765
98.33912958,98.24738322,99.49161553
97.63574226,97.94830438,99.51124327
97.69533157,97.01125951,99.23194911
98.0879971,97.63904797,99.0921381
97.01998034,96.8879158,99.46856124
98.49757596,96.9367461,98.84541371
97.64586006,97.63990788,98.84356938
97.46631751,96.66234419,97.97930938
97.26361937,96.68669023,97.47001678
97.65517944,95.94670395,96.82304628
97.0261305,95.50530935,97.14122664
97.47153704,96.86697856,97.45231841
97.33668329,97.21613949,97.6662295
96.9273045,96.34894197,97.71409861
97.58468884,96.7249353,99.20580016
95.90850871,96.76868586,98.43517855
97.09177802,98.30129912,98.81822463
98.59119646,98.37227016,99.25667433
97.78479957,96.62465382,99.1529405
97.70663334,97.56034769,99.1910976
97.74678995,97.71601138,99.39839409
97.57128252,96.859055,99.05128212
97.28775368,97.08241354,99.24107147
96.42124687,95.81472818,97.92195741
98.03508005,96.70714326,97.11252938
97.84574975,97.05321656,98.3910593
97.20721858,95.71316873,97.55223939
95.79050818,96.80596034,97.73119686
96.86194387,97.1915293,99.09192788
97.25657576,98.0768181,98.65876466
97.29270219,97.76333829,98.80757397
98.45210121,97.63551571,99.47770388
97.61744767,97.50469545,99.37773682
96.92059421,96.49822161,99.39359203
97.95237509,97.26848038,99.2273889
97.95627904,96.42042725,98.86323045
97.60710783,96.37289371,98.99412457
97.87032608,96.1706985,99.26116439
97.80468691,98.08393917,98.37713763
97.38808547,96.52579005,97.44817487
96.58905198,97.12475286,98.73267113
97.05593697,96.39474575,97.67791568
94.89660735,96.37374199,97.154466
96.37130908,97.25172859,98.03634844
96.59297377,97.44679715,98.46826142
97.36006246,96.75438689,98.68055656
97.51882234,98.24293946,98.97636624
97.71203417,97.36840908,98.98565801
98.2303867,98.47674985,99.69324625
98.05297302,97.32992163,98.91702412
97.47506666,97.46038772,99.1589427
97.34032638,97.4809604,99.26758128
97.98346644,97.19306079,99.41978721
97.08412839,97.78151497,98.1440202
97.60276638,96.35298857,98.93749168
97.17080082,96.7054905,97.65763007
96.84698186,96.59805154,98.60574868
96.95118083,95.55697079,98.03233707
96.96362416,96.30507922,98.42751201
97.48541461,97.39727531,98.82217798
97.30928466,97.58862411,99.63871013
97.55024897,96.86464586,98.73463033
98.23164095,98.44052264,98.85075059
97.09724691,97.55966946,99.02136008
97.49163021,98.28813039,99.41069604
97.83443987,97.10292525,99.02301934
97.34936782,97.52769316,99.34216888
96.33022429,96.60303619,98.12494521
96.57880684,96.82894228,97.81503018
97.1283433,96.22969519,98.75139781
97.62530334,96.18333024,97.43620637
95.85883931,95.27264147,98.3229075
95.65973038,96.45020204,98.22972827
97.0752712,95.94800699,98.06413288
96.3108805,96.40279964,98.84619272
96.95023617,97.63859853,98.11656336
97.92333078,97.71289713,98.79140717
97.58318828,97.3129147,99.0343678
97.69548287,97.94358754,99.57502729
97.83685579,97.92139411,99.70765534
97.72178851,98.18601555,99.55614436
97.05413313,96.96175797,99.31222814
97.33444555,97.58263235,99.5052386
96.89622157,96.51875379,98.55488384
97.02884342,97.09890837,98.9127635
96.45503621,96.44178515,98.17805275
96.32221981,95.55174763,98.72300467
96.8563429,96.47390954,97.43518313
97.31681563,96.66240764,98.76261125
96.95829341,96.59709191,99.71451812
96.95214678,97.94851055,99.09936432
96.80530122,97.00067544,98.48847921
96.56088334,97.35058332,99.43645558
97.19336279,97.97288232,98.83726367
97.6620757,97.82591899,99.00382962
97.96580775,98.69436358,99.0516226
96.47844432,96.36740213,98.6570008
